                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     61,                0.57151,                0.40847,                0.89425,                0.99763,                      1,                  0.995,                0.87705,                0.49185,                 0.3447,                0.82848,               0.001208,               0.001208,               0.001208
                     62,                0.55228,                0.38917,                0.90847,                0.99767,                      1,                  0.995,                0.85661,                0.58899,                0.40839,                0.84166,              0.0011948,              0.0011948,              0.0011948
                     63,                0.57229,                 0.3787,                0.89893,                 0.9705,                      1,                  0.995,                0.85113,                0.71357,                0.36399,                0.85367,              0.0011816,              0.0011816,              0.0011816
                     64,                0.55228,                0.38138,                0.91146,                0.96065,                      1,                0.98241,                 0.8323,                0.53692,                 0.3365,                0.83076,              0.0011684,              0.0011684,              0.0011684
                     65,                0.56134,                0.39427,                0.90078,                0.99652,                      1,                  0.995,                0.88555,                0.55857,                0.30925,                0.83659,              0.0011552,              0.0011552,              0.0011552
                     66,                 0.5563,                  0.388,                0.90697,                0.99759,                      1,                  0.995,                0.86073,                0.53951,                0.36214,                0.83562,               0.001142,               0.001142,               0.001142
                     67,                0.56497,                0.39075,                 0.9114,                0.99672,                      1,                  0.995,                0.86031,                0.55985,                0.33565,                0.83159,              0.0011288,              0.0011288,              0.0011288
                     68,                0.57822,                0.38612,                0.88615,                 0.9976,                      1,                  0.995,                0.88637,                0.64764,                0.36822,                0.85551,              0.0011156,              0.0011156,              0.0011156
                     69,                0.57961,                0.38784,                0.88544,                 0.9976,                      1,                  0.995,                0.86507,                0.57701,                0.33305,                 0.8318,              0.0011024,              0.0011024,              0.0011024
                     70,                0.53145,                0.36327,                0.88009,                0.99187,                      1,                  0.995,                0.88339,                0.62155,                0.37992,                0.83239,              0.0010892,              0.0010892,              0.0010892
                     71,                0.57233,                0.36795,                0.89169,                0.99752,                      1,                  0.995,                0.87595,                 0.5059,                0.37385,                0.81682,               0.001076,               0.001076,               0.001076
                     72,                0.59531,                 0.3963,                0.90059,                0.99765,                      1,                  0.995,                0.87512,                0.61501,                0.34767,                0.83503,              0.0010628,              0.0010628,              0.0010628
                     73,                 0.5382,                0.37108,                 0.8873,                 0.9901,                      1,                  0.995,                0.86486,                0.62324,                0.39204,                0.83851,              0.0010496,              0.0010496,              0.0010496
                     74,                0.52367,                0.35475,                 0.8664,                0.99495,                      1,                  0.995,                0.86254,                0.48016,                0.30497,                0.81821,              0.0010364,              0.0010364,              0.0010364
                     75,                0.54994,                0.35959,                0.88385,                0.99756,                      1,                  0.995,                0.86252,                 0.5075,                0.38554,                0.82076,              0.0010232,              0.0010232,              0.0010232
                     76,                0.54183,                0.36067,                0.88295,                0.99779,                      1,                  0.995,                0.83732,                0.54108,                0.36267,                0.82919,                0.00101,                0.00101,                0.00101
                     77,                0.52546,                0.36518,                0.88308,                0.96042,                      1,                0.98389,                0.83195,                0.63755,                0.41093,                0.84719,              0.0009968,              0.0009968,              0.0009968
                     78,                0.53104,                0.36862,                0.88104,                0.99706,                      1,                  0.995,                0.86413,                0.59318,                0.34414,                0.82998,              0.0009836,              0.0009836,              0.0009836
                     79,                0.50577,                0.36829,                 0.8743,                0.99743,                      1,                  0.995,                0.88173,                0.60258,                0.37036,                 0.8279,              0.0009704,              0.0009704,              0.0009704
                     80,                0.51226,                 0.3645,                0.88048,                0.99723,                      1,                  0.995,                 0.8679,                0.57238,                0.32465,                0.83515,              0.0009572,              0.0009572,              0.0009572
                     81,                0.51569,                0.35652,                0.88856,                0.99738,                      1,                  0.995,                0.86196,                0.54571,                0.32922,                0.82767,               0.000944,               0.000944,               0.000944
                     82,                 0.4874,                0.32917,                0.87046,                0.99763,                      1,                  0.995,                0.87438,                0.43606,                0.30373,                0.81508,              0.0009308,              0.0009308,              0.0009308
                     83,                0.53379,                0.35804,                0.89192,                0.99767,                      1,                  0.995,                0.89169,                 0.5964,                0.35995,                0.82287,              0.0009176,              0.0009176,              0.0009176
                     84,                0.48668,                0.33252,                 0.8853,                0.99761,                      1,                  0.995,                0.87664,                0.56071,                0.34514,                0.82607,              0.0009044,              0.0009044,              0.0009044
                     85,                0.49753,                0.34399,                0.86374,                0.99755,                      1,                  0.995,                 0.8836,                0.47744,                 0.3185,                 0.8179,              0.0008912,              0.0008912,              0.0008912
                     86,                0.50162,                0.35061,                0.86809,                0.99765,                      1,                  0.995,                0.85361,                0.46681,                0.28412,                0.81862,               0.000878,               0.000878,               0.000878
                     87,                0.48267,                0.32812,                0.85748,                 0.9976,                      1,                  0.995,                0.86634,                0.45518,                  0.313,                0.82138,              0.0008648,              0.0008648,              0.0008648
                     88,                0.51463,                0.35485,                0.89533,                0.99756,                      1,                  0.995,                0.86029,                0.45253,                0.29145,                0.81912,              0.0008516,              0.0008516,              0.0008516
                     89,                0.48982,                0.34132,                0.87181,                0.99772,                      1,                  0.995,                0.87705,                0.56756,                0.31477,                0.83862,              0.0008384,              0.0008384,              0.0008384
